[exp29_head8_emb256_bs16_it1000_do0.2] iter 750/1000 | train_now 2.1201 | train_eval 2.0785 | val 2.1425 | gap -0.0640 | lr 1.07e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 916.6 ms/it
[exp29_head8_emb256_bs16_it1000_do0.2] iter 760/1000 | train_now 2.1516 | train_eval 2.0750 | val 2.1337 | gap -0.0587 | lr 9.93e-05 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 894.4 ms/it
[exp29_head8_emb256_bs16_it1000_do0.2] iter 770/1000 | train_now 2.1303 | train_eval 2.0922 | val 2.1308 | gap -0.0385 | lr 9.16e-05 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 892.2 ms/it
[exp29_head8_emb256_bs16_it1000_do0.2] iter 780/1000 | train_now 2.1846 | train_eval 2.0783 | val 2.1286 | gap -0.0503 | lr 8.42e-05 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 892.4 ms/it
[exp29_head8_emb256_bs16_it1000_do0.2] iter 790/1000 | train_now 2.1610 | train_eval 2.0707 | val 2.1046 | gap -0.0339 | lr 7.71e-05 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 890.2 ms/it
[exp29_head8_emb256_bs16_it1000_do0.2] iter 800/1000 | train_now 2.1126 | train_eval 2.0663 | val 2.1209 | gap -0.0546 | lr 7.02e-05 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 917.6 ms/it
[exp29_head8_emb256_bs16_it1000_do0.2] iter 810/1000 | train_now 2.1347 | train_eval 2.0640 | val 2.1255 | gap -0.0615 | lr 6.36e-05 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 892.1 ms/it
[exp29_head8_emb256_bs16_it1000_do0.2] iter 820/1000 | train_now 2.1685 | train_eval 2.0655 | val 2.1205 | gap -0.0550 | lr 5.73e-05 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 886.3 ms/it
[exp29_head8_emb256_bs16_it1000_do0.2] iter 830/1000 | train_now 2.1577 | train_eval 2.0661 | val 2.1161 | gap -0.0501 | lr 5.13e-05 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 908.9 ms/it
[exp29_head8_emb256_bs16_it1000_do0.2] iter 840/1000 | train_now 2.1067 | train_eval 2.0783 | val 2.1068 | gap -0.0285 | lr 4.56e-05 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 901.3 ms/it
[exp29_head8_emb256_bs16_it1000_do0.2] iter 850/1000 | train_now 2.1435 | train_eval 2.0602 | val 2.1203 | gap -0.0601 | lr 4.02e-05 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 908.5 ms/it
[exp29_head8_emb256_bs16_it1000_do0.2] iter 860/1000 | train_now 2.1679 | train_eval 2.0459 | val 2.1344 | gap -0.0885 | lr 3.51e-05 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 889.9 ms/it
[exp29_head8_emb256_bs16_it1000_do0.2] iter 870/1000 | train_now 2.1061 | train_eval 2.0609 | val 2.1190 | gap -0.0581 | lr 3.04e-05 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 894.9 ms/it
[exp29_head8_emb256_bs16_it1000_do0.2] iter 880/1000 | train_now 2.1125 | train_eval 2.0659 | val 2.1105 | gap -0.0446 | lr 2.59e-05 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 889.8 ms/it
[exp29_head8_emb256_bs16_it1000_do0.2] iter 890/1000 | train_now 2.1272 | train_eval 2.0617 | val 2.1112 | gap -0.0495 | lr 2.18e-05 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 889.6 ms/it
[exp29_head8_emb256_bs16_it1000_do0.2] iter 900/1000 | train_now 2.1273 | train_eval 2.0450 | val 2.0937 | gap -0.0487 | lr 1.81e-05 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 888.7 ms/it
[exp29_head8_emb256_bs16_it1000_do0.2] iter 910/1000 | train_now 2.1248 | train_eval 2.0595 | val 2.1092 | gap -0.0497 | lr 1.47e-05 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 915.3 ms/it
[exp29_head8_emb256_bs16_it1000_do0.2] iter 920/1000 | train_now 2.1854 | train_eval 2.0603 | val 2.1049 | gap -0.0446 | lr 1.16e-05 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 890.6 ms/it
[exp29_head8_emb256_bs16_it1000_do0.2] iter 930/1000 | train_now 2.1050 | train_eval 2.0489 | val 2.1130 | gap -0.0640 | lr 8.91e-06 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 890.8 ms/it
[exp29_head8_emb256_bs16_it1000_do0.2] iter 940/1000 | train_now 2.1315 | train_eval 2.0594 | val 2.1148 | gap -0.0554 | lr 6.56e-06 | params 4.77M | host_mem 17.7% | gpu_mem 146.3MB | 893.0 ms/it
[exp29_head8_emb256_bs16_it1000_do0.2] iter 950/1000 | train_now 2.1084 | train_eval 2.0453 | val 2.1162 | gap -0.0709 | lr 4.56e-06 | params 4.77M | host_mem 17.7% | gpu_mem 146.3MB | 892.1 ms/it
[exp29_head8_emb256_bs16_it1000_do0.2] iter 960/1000 | train_now 2.1542 | train_eval 2.0449 | val 2.1168 | gap -0.0719 | lr 2.92e-06 | params 4.77M | host_mem 17.7% | gpu_mem 146.3MB | 889.9 ms/it
[exp29_head8_emb256_bs16_it1000_do0.2] iter 970/1000 | train_now 2.1613 | train_eval 2.0462 | val 2.1160 | gap -0.0697 | lr 1.64e-06 | params 4.77M | host_mem 17.7% | gpu_mem 146.3MB | 910.6 ms/it
[exp29_head8_emb256_bs16_it1000_do0.2] iter 980/1000 | train_now 2.1727 | train_eval 2.0382 | val 2.0988 | gap -0.0607 | lr 7.31e-07 | params 4.77M | host_mem 17.7% | gpu_mem 146.3MB | 904.2 ms/it
[exp29_head8_emb256_bs16_it1000_do0.2] iter 990/1000 | train_now 2.0972 | train_eval 2.0568 | val 2.1106 | gap -0.0538 | lr 1.83e-07 | params 4.77M | host_mem 17.7% | gpu_mem 146.3MB | 909.5 ms/it
[exp29_head8_emb256_bs16_it1000_do0.2] iter 999/1000 | train_now 2.1666 | train_eval 2.0597 | val 2.1002 | gap -0.0405 | lr 1.83e-09 | params 4.77M | host_mem 17.7% | gpu_mem 146.3MB | 859.8 ms/it
