[exp28_head8_emb256_bs16_it1000_do0.1] iter 520/1000 | train_now 2.2683 | train_eval 2.1354 | val 2.1634 | gap -0.0280 | lr 3.31e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 893.5 ms/it
[exp28_head8_emb256_bs16_it1000_do0.1] iter 530/1000 | train_now 2.1792 | train_eval 2.1276 | val 2.1822 | gap -0.0546 | lr 3.21e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 926.3 ms/it
[exp28_head8_emb256_bs16_it1000_do0.1] iter 540/1000 | train_now 2.1561 | train_eval 2.1148 | val 2.1677 | gap -0.0529 | lr 3.10e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 901.0 ms/it
[exp28_head8_emb256_bs16_it1000_do0.1] iter 550/1000 | train_now 2.1071 | train_eval 2.0956 | val 2.1446 | gap -0.0490 | lr 3.00e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 903.1 ms/it
[exp28_head8_emb256_bs16_it1000_do0.1] iter 560/1000 | train_now 2.1687 | train_eval 2.1048 | val 2.1501 | gap -0.0453 | lr 2.90e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 957.6 ms/it
[exp28_head8_emb256_bs16_it1000_do0.1] iter 570/1000 | train_now 2.1106 | train_eval 2.1003 | val 2.1500 | gap -0.0497 | lr 2.79e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 909.6 ms/it
[exp28_head8_emb256_bs16_it1000_do0.1] iter 580/1000 | train_now 2.1275 | train_eval 2.0906 | val 2.1343 | gap -0.0437 | lr 2.69e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 912.5 ms/it
[exp28_head8_emb256_bs16_it1000_do0.1] iter 590/1000 | train_now 2.1032 | train_eval 2.0831 | val 2.1271 | gap -0.0440 | lr 2.58e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 925.1 ms/it
[exp28_head8_emb256_bs16_it1000_do0.1] iter 600/1000 | train_now 2.1194 | train_eval 2.0657 | val 2.1025 | gap -0.0369 | lr 2.48e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 927.0 ms/it
[exp28_head8_emb256_bs16_it1000_do0.1] iter 610/1000 | train_now 2.1407 | train_eval 2.0548 | val 2.1380 | gap -0.0832 | lr 2.38e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 918.0 ms/it
[exp28_head8_emb256_bs16_it1000_do0.1] iter 620/1000 | train_now 2.0919 | train_eval 2.0520 | val 2.1089 | gap -0.0569 | lr 2.27e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 894.6 ms/it
[exp28_head8_emb256_bs16_it1000_do0.1] iter 630/1000 | train_now 2.1481 | train_eval 2.0616 | val 2.1064 | gap -0.0448 | lr 2.17e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 895.5 ms/it
[exp28_head8_emb256_bs16_it1000_do0.1] iter 640/1000 | train_now 2.0606 | train_eval 2.0506 | val 2.1025 | gap -0.0518 | lr 2.07e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 896.1 ms/it
